,Date,PRICECATEGORY,Max of TOTALDEMAND,Time,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
114,2021-04-25,2,5835.47,18:30:00,9.9,17.8,2.6,1.2,3.6,SSW,24.0,19:10,12.8,83.0,6,N,2.0,1027.0,16.0,70,7.0,SSW,4,1025.2
115,2021-04-26,3,6436.32,18:30:00,10.9,17.9,1.2,2.2,0.8,SSW,20.0,10:50,13.6,83.0,7,SW,6.0,1027.9,16.1,68,7.0,S,9,1027.1
116,2021-04-27,3,6487.76,18:30:00,11.8,16.6,0.6,2.0,0.9,W,19.0,8:57,13.4,87.0,7,WSW,9.0,1029.5,16.3,73,7.0,SSW,11,1026.7
117,2021-04-28,3,6461.27,18:30:00,7.4,16.9,0.4,3.0,9.5,SSW,22.0,15:03,12.3,87.0,1, ,0.0,1026.4,14.8,70,5.0,S,13,1023.9
118,2021-04-29,3,6405.5,18:30:00,8.2,18.4,0.0,2.2,9.9,SSW,17.0,13:44,12.0,83.0,1, ,0.0,1025.1,17.5,66,2.0,SSW,9,1022.9
119,2021-04-30,1,5887.34,18:30:00,9.5,24.4,0.0,0.0,10.2,N,30.0,12:05,12.5,83.0,1,NNE,13.0,1027.0,23.9,32,0.0,N,15,1024.0
120,2021-05-01,1,5261.09,18:30:00,11.2,24.6,0.0,5.4,7.1,N,33.0,12:48,14.9,63.0,3,NNE,9.0,1027.3,24.2,35,7.0,N,17,1024.4
121,2021-05-02,1,5289.07,18:30:00,13.7,26.0,0.0,6.4,3.8,N,39.0,14:18,17.5,59.0,7,NNE,7.0,1023.3,25.3,36,2.0,N,20,1018.9
122,2021-05-03,1,6183.0,18:30:00,12.5,18.2,0.2,6.8,0.8,S,28.0,18:35,15.0,80.0,7,SW,7.0,1019.6,17.0,74,7.0,SSW,9,1017.6
123,2021-05-04,1,6663.33,18:30:00,9.4,15.5,30.8,4.6,0.1,S,39.0,14:46,12.0,100.0,7, ,0.0,1019.9,14.4,78,8.0,S,19,1021.5
124,2021-05-05,1,6389.08,18:30:00,7.2,17.3,0.0,0.8,9.1,SSW,30.0,12:37,12.2,83.0,1, ,0.0,1026.0,17.0,52,5.0,SSW,9,1023.4
125,2021-05-06,3,6342.41,18:30:00,7.6,22.2,0.0,2.0,8.4,SSE,19.0,0:01,10.8,83.0,1,NE,6.0,1021.6,21.6,56,1.0,WNW,2,1016.8
126,2021-05-07,3,5957.64,18:30:00,10.5,21.5,0.2,2.4,3.6,NE,15.0,6:35,13.9,91.0,4,N,7.0,1014.8,20.2,37,6.0, ,0,1011.3
127,2021-05-08,1,5517.34,18:30:00,9.9,19.8,0.0,2.8,5.1,SW,24.0,16:55,15.1,76.0,2,W,4.0,1013.9,17.3,69,7.0,SSW,6,1013.4
128,2021-05-09,1,5222.89,18:30:00,11.0,20.5,0.4,0.0,7.1,NW,28.0,13:06,13.7,97.0,6, ,0.0,1018.4,19.5,45,3.0,WNW,6,1014.9
129,2021-05-10,3,6352.55,18:00:00,11.7,16.9,0.2,3.8,0.5,N,41.0,13:18,14.3,68.0,7,N,19.0,1010.2,16.2,56,7.0,NNW,13,1007.6
